date | value
2011-01-03 | 3
2011-01-03 | 2
2011-01-03 | 1
2011-01-03 | 1.2
2011-01-09 | 1
2012-01-11 | -1
2001-42-42
2012-01-11 | 1
2012-01-11 | 2147483648
 | 0.5
2011-01-05 | 999.99
2011-01-06 | 1000

2011-01-07 | 1000.01
2011-01-08 | abc
2011-01-10 | 0
2011-01-12 | 1.5
2011-01-15 | 3.14159
2011-01-18 | 2.71828
2011-01-21 | 42
2011-01-24 | 0.0001
2011-01-27 | 1001
2011-01-30 | -0.1
2011-02-02 | 2147483647
2011-02-05 | 2147483648
2011-02-14 | 1.0000000001
2011-02-17 | 0.9999999999
2011-02-20 | 1000.0000000001
